Date,Net International Investment Position,Total liabilities,Equity (total),Equity (portfolio),Debt (total),Debt (portfolio),Debt (Treasuries),Ratio: Equity/Debt (total),Ratio: Equity/Debt (portfolio),Equity (total)/Total liabilities,Equity (portfolio)/Net IIP,Debt (total)/Total Liabilities,Debt (portfolio)/Net IIP,Total Equity / Total Debt,Nominal GDP,IIP as % of GDP,Liabilities as % of GDP,Equity Liabs (total) as % of GDP,Equity Liabs (portfolio) as % of GDP,Debt Liabs (total) as % of GDP,Debt Liabs (portfolio) as % of GDP,Treasury Liabs as % of GDP,Market Treasury Debt/GDP %,Marketable Treasury debt absorbed domestically (% of GDP)
Mar-06," 1,655,616 ",16122685,5050063,2454992,5939683,5147535,1994177,0.85022433,0.476925752,0.313,0.152269427,0.368,0.319272813,0.850,13599.16,0.122,1.186,0.371,0.181,0.437,0.379,0.147,0.32092,0.174280281
Jun-06,1678770,16485106,5001934,2431169,6192408,5360261,1980211,0.807752655,0.453554221,0.303,0.147476698,0.376,0.325157812,0.808,13753.424,0.122,1.199,0.364,0.177,0.450,0.390,0.144,0.31182,0.167840508
Sep-06,2005759,17281746,5318761,2599784,6594612,5742448,2056542,0.806531302,0.452730961,0.308,0.150435263,0.382,0.332284018,0.807,13870.188,0.145,1.246,0.383,0.187,0.475,0.414,0.148,0.3153,0.167029335
Dec-06,1807819,18218331,5687424,2791893,6908701,6051630,2126178,0.823226248,0.461345621,0.312,0.153246365,0.379,0.332172579,0.823,14039.56,0.129,1.298,0.405,0.199,0.492,0.431,0.151,0.31624,0.164798074
Mar-07,1654166,18960701,5794375,2848797,7336975,6422932,2221996,0.789749863,0.443535289,0.306,0.150247451,0.387,0.338749712,0.790,14215.651,0.116,1.334,0.408,0.200,0.516,0.452,0.156,0.31556,0.159253687
Jun-07,1421382,20262313,6288879,3129523,7592575,6650961,2193645,0.8282933,0.470536965,0.310,0.154450432,0.375,0.328242931,0.828,14402.082,0.099,1.407,0.437,0.217,0.527,0.462,0.152,0.30768,0.155365564
Sep-07,1231443,20913533,6476888,3222228,7795470,6810882,2248372,0.83085279,0.47309996,0.310,0.154073824,0.373,0.325668647,0.831,14564.117,0.085,1.436,0.445,0.221,0.535,0.468,0.154,0.31202,0.157642498
Dec-07,1278830,21983996,6329164,3231651,8132049,7095323,2376442,0.778298803,0.45546214,0.288,0.147000163,0.370,0.322749467,0.778,14715.058,0.087,1.494,0.430,0.220,0.553,0.482,0.161,0.32006,0.158562709
Mar-08,1849030,23736139,5854717,3011024,8431641,7357632,2556533,0.694374559,0.40923819,0.247,0.126853993,0.355,0.30997594,0.694,14706.538,0.126,1.614,0.398,0.205,0.573,0.500,0.174,0.33735,0.163513506
Jun-08,1834418,22848492,5757535,2969288,8481852,7358274,2587500,0.67880635,0.403530502,0.252,0.129955535,0.371,0.322046374,0.679,14865.701,0.123,1.537,0.387,0.200,0.571,0.495,0.174,0.32919,0.155131609
Sep-08,3309018,21741288,5314287,2731517,8276417,7147051,2833879,0.642099957,0.382187982,0.244,0.125637313,0.381,0.32873172,0.642,14898.999,0.222,1.459,0.357,0.183,0.556,0.480,0.190,0.34852,0.158314
Dec-08,3994625,23418718,4132941,2132433,8434172,7343440,3252974,0.490023324,0.290386113,0.176,0.091056778,0.360,0.313571392,0.490,14608.209,0.273,1.603,0.283,0.146,0.577,0.503,0.223,0.41685,0.194168766
Mar-09,3856030,22004103,3653773,1904734,8354309,7263418,3417839,0.43735191,0.262236594,0.166,0.086562674,0.380,0.330093801,0.437,14430.902,0.267,1.525,0.253,0.132,0.579,0.503,0.237,0.44023,0.203388325
Jun-09,3199376,21132222,4276648,2252181,8497794,7380974,3461983,0.503265671,0.305133306,0.202,0.106575683,0.402,0.349275812,0.503,14381.236,0.222,1.469,0.297,0.157,0.591,0.513,0.241,0.46912,0.22839083
Sep-09,2669479,22403110,5049434,2688029,8699375,7563074,3585857,0.580436411,0.355414875,0.225,0.119984636,0.388,0.337590361,0.580,14448.882,0.185,1.551,0.349,0.186,0.602,0.523,0.248,0.49767,0.249494605
Dec-09,2626940,22054085,5431582,2917681,8650282,7545553,3670597,0.627908084,0.386675569,0.246,0.132296624,0.392,0.342138565,0.628,14651.249,0.179,1.505,0.371,0.199,0.590,0.515,0.251,0.50626,0.255728663
Mar-10,2769046,22522705,5783039,3137639,8796836,7673194,3861702,0.657399888,0.408909119,0.257,0.139310043,0.391,0.340687053,0.657,14764.61,0.188,1.525,0.392,0.213,0.596,0.520,0.262,0.52185,0.260298764
Jun-10,3180635,22978071,5144350,2814256,8996604,7870077,4069735,0.571810207,0.357589386,0.224,0.122475729,0.392,0.342503816,0.572,14980.193,0.212,1.534,0.343,0.188,0.601,0.525,0.272,0.55619,0.284515596
Sep-10,2746288,24713638,5805616,3169658,9511949,8358012,4409180,0.610349782,0.379235876,0.235,0.128255419,0.385,0.33819432,0.610,15141.607,0.181,1.632,0.383,0.209,0.628,0.552,0.291,0.58683,0.295633696
Dec-10,2511072,24279619,6473522,3545769,9494837,8323493,4458824,0.681793905,0.425995312,0.267,0.146038906,0.391,0.342818106,0.682,15309.474,0.164,1.586,0.423,0.232,0.620,0.544,0.291,0.59907,0.307823939
Mar-11,2638416,24788304,6888032,3793751,9610942,8422137,4540880,0.71668646,0.450449927,0.278,0.153046009,0.388,0.339762535,0.717,15351.448,0.172,1.615,0.449,0.247,0.626,0.549,0.296,0.61032,0.314525102
Jun-11,2785304,25233740,6939442,3829897,9809574,8602819,4690562,0.707415225,0.445190931,0.275,0.151776827,0.389,0.340925245,0.707,15557.539,0.179,1.622,0.446,0.246,0.631,0.553,0.301,0.61875,0.317252315
Sep-11,4134034,26435151,6053514,3366482,10066640,8846210,4974399,0.601344043,0.380556419,0.229,0.127348696,0.381,0.334638149,0.601,15647.68,0.264,1.689,0.387,0.215,0.643,0.565,0.318,0.65084,0.332939902
Dec-11,4454616,26664258,6810263,3841901,10036205,8805342,5004354,0.678569539,0.436314796,0.255,0.144084302,0.376,0.330230153,0.679,15842.259,0.281,1.683,0.430,0.243,0.634,0.556,0.316,0.6721,0.35621361
Mar-12,4604772,26822016,7672833,4355167,10183924,8968161,5145060,0.753425988,0.485625425,0.286,0.162372843,0.380,0.3343582,0.753,16068.805,0.287,1.669,0.477,0.271,0.634,0.558,0.320,0.68446,0.364270664
Jun-12,5259919,26767319,7505501,4261853,10282569,9035671,5310871,0.729924691,0.471669785,0.280,0.159218523,0.384,0.337563542,0.730,16207.115,0.325,1.652,0.463,0.263,0.634,0.558,0.328,0.70025,0.372562376
Sep-12,5000197,27313305,7940026,4508580,10560373,9305446,5472716,0.751869844,0.484509824,0.291,0.165069002,0.387,0.340692787,0.752,16319.541,0.306,1.674,0.487,0.276,0.647,0.570,0.335,0.71395,0.378602578
Dec-12,4569528,27080174,7961204,4545361,10680095,9433504,5571482,0.745424455,0.481831671,0.294,0.167848294,0.394,0.34835463,0.745,16420.419,0.278,1.649,0.485,0.277,0.650,0.574,0.339,0.72352,0.38421794
Mar-13,5094143,27767917,8754007,5000428,10865514,9569168,5721311,0.805668926,0.522556193,0.315,0.180079334,0.391,0.344612381,0.806,16648.189,0.306,1.668,0.526,0.300,0.653,0.575,0.344,0.7233,0.379640338
Jun-13,5527281,27470984,8925962,5076822,10688254,9356230,5595017,0.835118814,0.542614066,0.325,0.184806704,0.389,0.340585907,0.835,16728.687,0.330,1.642,0.534,0.303,0.639,0.559,0.334,0.71969,0.385233566
Sep-13,4994325,27978365,9450574,5406318,10839973,9487270,5652820,0.871826341,0.569849704,0.338,0.193232092,0.387,0.339093081,0.872,16953.838,0.295,1.650,0.557,0.319,0.639,0.560,0.333,0.70391,0.370485792
Dec-13,5443587,29513421,10307816,5864600,11048370,9676651,5792616,0.932971651,0.606056786,0.349,0.198709597,0.374,0.327872902,0.933,17192.019,0.317,1.717,0.600,0.341,0.643,0.563,0.337,0.70406,0.367123658
Mar-14,5503555,29641727,10440866,6051072,11271753,9885208,5948311,0.926285911,0.612134009,0.352,0.204140332,0.380,0.333489611,0.926,17197.738,0.320,1.724,0.607,0.352,0.655,0.575,0.346,0.71929,0.373412478
Jun-14,5490052,30548680,10973200,6352073,11470787,10069397,6018693,0.956621372,0.630829532,0.359,0.207932814,0.375,0.329618072,0.957,17518.508,0.313,1.744,0.626,0.363,0.655,0.575,0.344,0.71118,0.367618037
Sep-14,6206947,30877211,11092416,6436702,11589119,10131704,6069151,0.957140573,0.635303005,0.359,0.20846125,0.375,0.328128859,0.957,17804.228,0.349,1.734,0.623,0.362,0.651,0.569,0.341,0.70996,0.36907743
Dec-14,7021188,31828304,11538259,6642507,11762420,10279279,6157966,0.980942612,0.646203591,0.363,0.208698113,0.370,0.322960312,0.981,17912.079,0.392,1.777,0.644,0.371,0.657,0.574,0.344,0.72244,0.378651543
Mar-15,6960663,32517930,11805837,6728462,11970824,10406597,6172631,0.986217574,0.646557371,0.363,0.206915446,0.368,0.320026428,0.986,18063.529,0.385,1.800,0.654,0.372,0.663,0.576,0.342,0.73352,0.391802111
Jun-15,6874739,31562682,11757854,6659703,12107046,10504066,6163141,0.971157952,0.634011915,0.373,0.210999274,0.384,0.332800172,0.971,18279.784,0.376,1.727,0.643,0.364,0.662,0.575,0.337,0.7214,0.384243883
Sep-15,7427021,30881198,10867472,6094427,12029286,10418525,6105885,0.903417875,0.584960635,0.352,0.197350731,0.390,0.337374379,0.903,18401.626,0.404,1.678,0.591,0.331,0.654,0.566,0.332,0.72502,0.393207746
Dec-15,7590470,30892217,11319469,6209080,12055597,10436766,6146221,0.938938901,0.594923753,0.366,0.200991726,0.390,0.337844513,0.939,18435.137,0.412,1.676,0.614,0.337,0.654,0.566,0.333,0.72941,0.396012912
Mar-16,7886675,31914696,11346816,6138131,12357523,10739892,6284434,0.918211198,0.571526324,0.356,0.192329296,0.387,0.3365187,0.918,18525.933,0.426,1.723,0.612,0.331,0.667,0.580,0.339,0.75146,0.412236383
Jun-16,8340977,32836299,11594696,6185650,12629171,10964861,6279053,0.918088448,0.564133918,0.353,0.188378416,0.385,0.333924996,0.918,18711.702,0.446,1.755,0.620,0.331,0.675,0.586,0.336,0.75072,0.415151755
Sep-16,8104523,32872184,12140188,6489070,12748178,11022352,6155875,0.952307694,0.588719177,0.369,0.197403069,0.388,0.335309391,0.952,18892.639,0.429,1.740,0.643,0.343,0.675,0.583,0.326,0.75933,0.433495425
Dec-16,8258387,32160757,12393572,6570218,12476908,10789745,6002797,0.993320781,0.608931722,0.385,0.204293015,0.388,0.335494124,0.993,19089.379,0.433,1.685,0.649,0.344,0.654,0.565,0.314,0.74568,0.431222573
Mar-17,8091781,32997277,13210610,7008686,12589999,10898642,6075334,1.049293967,0.643078835,0.400,0.212401951,0.382,0.330289133,1.049,19280.084,0.420,1.711,0.685,0.364,0.653,0.565,0.315,0.73648,0.421370688
Jun-17,7959439,33859632,13591393,7190983,12952865,11253230,6151906,1.049296275,0.639015021,0.401,0.212376289,0.383,0.332349448,1.049,19438.643,0.409,1.742,0.699,0.370,0.666,0.579,0.316,0.73477,0.418291838
Sep-17,7743743,34660204,14240554,7550790,13210700,11488616,6301939,1.077956051,0.657241046,0.411,0.217851863,0.381,0.331464177,1.078,19692.595,0.393,1.760,0.723,0.383,0.671,0.583,0.320,0.73364,0.413624329
Dec-17,7830723,35412791,15057409,7941551,13176129,11456735,6211279,1.142779416,0.693177507,0.425,0.224256569,0.372,0.323519685,1.143,20037.088,0.391,1.767,0.751,0.396,0.658,0.572,0.310,0.7299,0.419910894
Mar-18,7944390,35444253,15023152,7980926,13137171,11410533,6223434,1.143560665,0.699434987,0.424,0.225168407,0.371,0.321929002,1.144,20328.553,0.391,1.744,0.739,0.393,0.646,0.561,0.306,0.7247,0.418557502
Jun-18,8915229,35846697,15382260,8144340,12999779,11316896,6225015,1.183270885,0.719661999,0.429,0.227199175,0.363,0.315702616,1.183,20580.912,0.433,1.742,0.747,0.396,0.632,0.550,0.302,0.72347,0.421004541
Sep-18,9668234,36729522,16336104,8529094,13040402,11328361,6225896,1.252730092,0.75289744,0.445,0.232213586,0.355,0.308426584,1.253,20798.73,0.465,1.766,0.785,0.410,0.627,0.545,0.299,0.72763,0.4282898
Dec-18,9795821,34902578,14284758,7539222,12952915,11304934,6270130,1.102821874,0.666896596,0.409,0.216007597,0.371,0.323899684,1.103,20917.867,0.468,1.669,0.683,0.360,0.619,0.540,0.300,0.73394,0.43419003
Mar-19,10349908,37025938,15925006,8264823,13334759,11695892,6473999,1.194247755,0.706643238,0.430,0.223217113,0.360,0.315883746,1.194,21111.6,0.490,1.754,0.754,0.391,0.632,0.554,0.307,0.7522,0.445543991
Jun-19,10738701,38297960,16585113,8610341,13605194,11928998,6625860,1.219028042,0.721799182,0.433,0.224825056,0.355,0.311478679,1.219,21397.938,0.502,1.790,0.775,0.402,0.636,0.557,0.310,0.76069,0.451040538
Sep-19,11520386,39313952,16721701,8646374,14125969,12432073,6960290,1.183756031,0.69548932,0.425,0.219931438,0.359,0.316225471,1.184,21717.171,0.530,1.810,0.770,0.398,0.650,0.572,0.320,0.77691,0.456412915
Dec-19,11666440,40511618,18086755,9296241,14131540,12467326,6917822,1.279885632,0.745648345,0.446,0.229470988,0.349,0.307746928,1.280,21933.217,0.532,1.847,0.825,0.424,0.644,0.568,0.315,0.78759,0.472186108
Mar-20,12608703,39316239,14790238,7772135,14119225,12463197,7059898,1.047524776,0.623606848,0.376,0.197682566,0.359,0.316998709,1.048,21727.657,0.580,1.810,0.681,0.358,0.650,0.574,0.325,0.83313,0.508203203
Jun-20,13599447,42146921,17749029,9320740,14633208,13067727,7199344,1.212928088,0.713264059,0.421,0.221148776,0.347,0.310051759,1.213,19935.444,0.682,2.114,0.890,0.468,0.734,0.656,0.361,1.04404,0.682907135
Sep-20,14460621,43747053,19398359,10235520,14796148,13149001,7253228,1.311041157,0.778425677,0.443,0.233970503,0.338,0.300568841,1.311,21684.551,0.667,2.017,0.895,0.472,0.682,0.606,0.334,1.00826,0.673771728
Dec-20,14721004,46744160,22097500,11834628,14949987,13337278,7291566,1.478094931,0.887334582,0.473,0.25317875,0.320,0.285325012,1.478,22068.767,0.667,2.118,1.001,0.536,0.677,0.604,0.330,1.00132,0.670917944
Mar-21,15050086,47727220,23487588,12621887,14798123,13179268,7295920,1.587200485,0.957707742,0.492,0.264458877,0.310,0.276137349,1.587,22656.793,0.664,2.107,1.037,0.557,0.653,0.582,0.322,0.97473,0.652710904
Jun-21,16098813,50230949,25519096,13711792,15167748,13528443,7518880,1.682457805,1.013552853,0.508,0.272974974,0.302,0.269324854,1.682,23368.861,0.689,2.149,1.092,0.587,0.649,0.579,0.322,0.95599,0.634242184
Sep-21,16448862,50673028,25651007,13775638,15230962,13543116,7570896,1.68413571,1.017169018,0.506,0.27185346,0.301,0.267264786,1.684,23921.991,0.688,2.118,1.072,0.576,0.637,0.566,0.316,0.95355,0.637067313
Dec-21,18832520,53775458,28414462,15250615,15423063,13720990,7740370,1.842335858,1.111480658,0.528,0.28359805,0.287,0.255153382,1.842,24777.038,0.760,2.170,1.147,0.616,0.622,0.554,0.312,0.93571,0.623309058
Mar-22,18340500,52278123,26804562,14347331,15055623,13324318,7604400,1.780368836,1.076777888,0.513,0.274442351,0.288,0.254873688,1.780,25215.491,0.727,2.073,1.063,0.569,0.597,0.528,0.302,0.92622,0.624643481
Jun-22,16640751,47540616,22549395,12185954,14482106,12772420,7416943,1.557052199,0.954083408,0.474,0.256327221,0.305,0.268663326,1.557,25805.791,0.645,1.842,0.874,0.472,0.561,0.495,0.287,0.86677,0.579356101
Sep-22,16859325,46449421,21311363,11532884,14161602,12405712,7251508,1.504869506,0.929643055,0.459,0.24828908,0.305,0.267080014,1.505,26272.011,0.642,1.768,0.811,0.439,0.539,0.472,0.276,0.8452,0.56918352
Dec-22,16263908,47704194,22593889,12126970,14356528,12588264,7294065,1.57377111,0.963355233,0.474,0.25421182,0.301,0.263881704,1.574,26734.277,0.608,1.784,0.845,0.454,0.537,0.471,0.273,0.81736,0.544524307
Mar-23,16933306,49473808,24092273,12854344,14783222,13009743,7563126,1.629703795,0.988055183,0.487,0.259821197,0.299,0.262962232,1.630,27164.359,0.623,1.821,0.887,0.473,0.544,0.479,0.278,0.83361,0.555189074
Jun-23,18249600,51583212,25876434,13724747,14979383,13175472,7627150,1.72746995,1.041689209,0.502,0.266070035,0.290,0.255421706,1.727,27453.815,0.665,1.879,0.943,0.500,0.546,0.480,0.278,0.82542,0.547602509
Sep-23,18297214,50957862,25078543,13397628,14972283,13167952,7610578,1.674997928,1.017442044,0.492,0.262915819,0.294,0.258408644,1.675,27967.697,0.654,1.822,0.897,0.479,0.535,0.471,0.272,0.83124,0.559119704
Dec-23,19853154,54252801,27715465,14736519,15710414,13880266,7946509,1.764146063,1.061688515,0.511,0.271626879,0.290,0.255844228,1.764,28296.967,0.702,1.917,0.979,0.521,0.555,0.491,0.281,0.84981,0.568984532
Mar-24,21288760,57117662,30343728,16122326,15950955,14098628,8114836,1.902314187,1.143538648,0.531,0.28226516,0.279,0.246834823,1.902,28624.069,0.744,1.995,1.060,0.563,0.557,0.493,0.283,0.87045,0.586953059
Jun-24,22545897,58628966,31457594,16688579,16140852,14215397,8210632,1.948942596,1.173979102,0.537,0.284647336,0.275,0.242463717,1.949,29016.714,0.777,2.021,1.084,0.575,0.556,0.490,0.283,0.8565,0.573537842
Sep-24,24153554,61811387,33350330,17767817,16920562,14961458,8678485,1.970994226,1.187572561,0.540,0.287452165,0.274,0.242050191,1.971,29374.914,0.822,2.104,1.135,0.605,0.576,0.509,0.295,0.88861,0.593171348
Dec-24,26232125," 62,117,577 "," 34,326,206 "," 18,443,342 "," 16,597,904 "," 14,643,526 ",8512857,2.068104864,1.259487776,0.553,0.296910197,0.267,0.235738847,2.068,29723.864,0.883,2.090,1.155,0.620,0.558,0.493,0.286,0.88709,0.60069194